@relation PaleoTrain

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute label {Line,Arc,Ellipse,Circle,Curve,Helix,Spiral,Complex,Polyline}

@data
0.181247,0.008898,0.137652,3.596598,1.487282,0.690823,0.177923,231.657074,1.487282,0.061196,6.877379,0,0.982019,0.5,1,0.108783,37.009894,333.690842,51.240139,4.497344,0.137713,121.569544,55716.057862,0.071015,0.050244,4,0.37598,1,0.267355,0.587197,1.486496,0,0,0,0,2,2,0.5,3,0.648386,0.775861,0.839636,0.651441,0.415986,0.641572,0.497771,0.764107,0.508772,0.41223,1,0,18.545986,1.690027,0.81969,0.862286,0.977357,0.842761,0.772473,0.942396,0.812615,0.964229,0.591706,0.585859,0,-1,255.812431,0.470641,230.521149,0.989063,0.147492,332.956767,-3.141593,3.968765,1.08413,0.314758,3.968765,-0.009435,1.444365,1.301566,0.901133,26448,10.182936,-0.791579,5.808013,-1.155952,Arc
0.265072,0.011618,0.142014,3.491867,1.431823,0.748331,0.520581,172.904598,1.431823,0.046879,4.034995,0,0.866517,0.323792,1,0.096035,46.814764,231.053646,34.94643,4.386657,0.251871,90.189544,32687.361827,0.056384,0.057903,3,0.633955,1,0.192975,0.548222,1.627449,0,0,0,0,1,1,0,2,0.494526,0.730661,0.866057,0.632794,0.33841,0.684311,0.5,0.790146,0.726667,0.37015,1,0,20.152517,1.74705,0.779271,0.851949,0.985109,0.839262,0.749105,0.961289,0.818969,0.975821,0.572394,0.825758,0.894427,-0.447214,183.673624,0.615186,171.432202,0.874981,0.484156,227.004127,-2.034444,3.278899,0.833852,0.170212,2.759753,-0.008962,1.324163,1.23591,0.933352,15900,9.674074,-0.620465,5.424968,-1.770711,Arc
0.23035,0.022341,0.161766,2.9534,1.411815,0.6418,0.313204,185,1.411815,0.143275,6.413153,0.039003,0.993038,0.5,1,0.144927,38.944677,287.256103,45.102297,3.854863,0.015889,91.313025,33990.621932,0.044406,0.055127,4,0.326241,1,0.247051,0.523675,0.977283,0,0,0,0,2,2,0.5,3,0.608215,0.741088,0.83203,0.616607,0.410353,0.674684,0.5,0.810889,0.635359,0.502426,0.967914,0,17.305358,1.629438,0.790652,0.844769,0.973475,0.822362,0.753666,0.95322,0.805251,0.979193,0.613708,0.646067,0,-1,215.522621,0.573847,184.048907,0.950834,0.3097,285.962768,-3.60524,4.823792,1.648553,0.211552,4.480768,-0.012607,1.553733,1.326834,0.853966,21177,9.960671,-0.747387,5.655862,-1.553286,Arc
0.16994,0.008935,0.110634,2.930065,1.486732,0.666303,1.679213,147.868185,1.486732,0.034506,3.861719,0,0.981911,0.5,1,-0.155647,23.98161,221.130105,34.148242,3.46096,0.076274,74.750645,21938.571438,0.039763,0.069826,3,0.49458,1,0.329116,0.573958,1.232411,0,0,0,0,2,2,0.5,3,0.686712,0.749393,0.848105,0.635564,0.456916,0.665368,0.498622,0.784535,0.510204,0.462814,0.535714,0,17.910728,1.665273,0.829374,0.851914,0.978221,0.83336,0.791931,0.954855,0.813454,0.976114,0.600502,1,-1,0,164.127999,1.109874,147.339743,-0.06787,0.997694,220.265493,3.141593,3.141593,0.971164,0.324475,1.814239,0.014263,1.49495,1.342035,0.897712,10731,9.280892,1,5.394834,-1.125546,Arc
0.187034,0.011336,0.187422,4.17981,1.330101,0.428918,-0.210122,215.74522,1.330101,0.143275,12.639018,0.130887,0.983711,0.66399,1,-0.092969,34.96658,419.356195,65.162974,9.024474,0.016087,102.155067,39558.500778,0.041225,0.061778,5,0.610437,1,0.22428,0.338458,0.455419,0,0,0,0,2,2,0.5,3,0.76341,0.846484,0.756392,0.640273,0.391056,0.512249,0.43361,0.677227,0.735849,0.679734,0.8583,0,14.207721,1.428198,0.813755,0.85108,0.938899,0.799078,0.706922,0.868716,0.739347,0.92525,0.700183,0.557143,-0.857493,0.514496,263.210942,0.634383,179.869397,0.984047,0.177907,418.982969,4.171969,5.856911,1.637958,0.151015,3.887438,0.009957,2.329373,1.591814,0.683366,33072,10.406442,0.712316,6.03783,-1.890374,Arc
0.1812,0.008842,0.150919,2.751083,1.493021,0.7083,0.198501,177.485211,1.493021,0.043683,4.940248,0,0.956007,0.5,1,0.140893,27.179886,250.037758,38.59123,3.212527,0.154171,93.616259,33398.501777,0.052945,0.051647,4,0.293685,1,0.243857,0.60018,1.548026,0,0,0,0,1,1,0,2,0.645315,0.790458,0.835241,0.660222,0.407879,0.632061,0.499618,0.756742,0.494253,0.388894,1,0,18.881788,1.707756,0.821161,0.867316,0.977695,0.847971,0.772184,0.940356,0.815586,0.961809,0.585564,0.618705,0,-1,193.214906,0.44976,177.101666,0.982487,0.186334,249.459221,-3.141593,3.361916,0.931713,0.335639,3.361916,-0.012594,1.408565,1.291097,0.916605,14616,9.589872,-0.934465,5.519295,-1.09172,Arc
0.236869,0.005348,0.061303,1.684874,1.460286,0.733136,0.301409,202.111355,1.460286,0.009602,1.79552,0,0.963726,0.415954,1,-0.186284,42.700484,275.680613,42.006944,2.570418,0.004265,103.538156,43273.403236,0.092513,0.043834,4,0.182704,1,0.303743,0.524148,1.488895,0,0,0,0,1,1,0,2,0.526657,0.706167,0.857131,0.605278,0.372898,0.708047,0.5,0.826067,0.590674,0.401699,1,0,19.700788,1.733127,0.778159,0.843259,0.981193,0.8274,0.753108,0.967808,0.816113,0.986358,0.576992,0.678571,0.083045,0.996546,224.153965,0.533534,202.111355,0.954919,0.296866,274.681772,2.38371,2.415122,0.70673,0.251865,1.362813,0.008678,1.359062,1.225416,0.901663,22002,9.998889,0.986994,5.615613,-1.378864,Arc
0.182119,0.00913,0.103263,2.016786,1.502146,0.730364,0.126832,150.206524,1.502146,0.022461,2.460209,0.018692,0.954728,0.426208,1,0.164394,21.878879,204.15943,30.522505,2.757542,0.087527,81.574939,24847.629388,0.053761,0.075699,3,0.54024,1,0.244634,0.588791,1.82269,0,0,0,0,2,2,0.5,3,0.643779,0.764328,0.850922,0.650384,0.418431,0.64996,0.496783,0.76383,0.436242,0.362186,0.986755,0,20.010672,1.730134,0.825288,0.863913,0.980493,0.847061,0.779909,0.945015,0.816411,0.963817,0.57799,0.619048,0.650791,-0.759257,160.256045,0.37703,150.206524,0.991968,0.126493,197.34996,-2.432966,2.627025,0.726498,0.408368,2.627025,-0.012328,1.313857,1.231467,0.937291,8791,9.081484,-0.92613,5.284979,-0.895587,Arc
0.272443,0.007943,0.114322,2.410622,1.272899,0.262536,0.411354,325.121516,1.272899,0.127673,16.073773,0.146129,0.991809,0.75,1,-0.124426,88.737916,732.528904,112.745739,7.877245,0.004686,151.912333,79026.392683,0.059952,0.076327,5,0.679629,0.4,0.17838,0.252377,0.276343,0,0,0,0,2,2,0.5,3,0.699844,0.842158,0.719648,0.606057,0.338018,0.482991,0.406755,0.671149,0.957929,0.777863,0.625506,0,13.355712,1.262218,0.764141,0.831867,0.939152,0.781249,0.67065,0.877651,0.730089,0.934514,0.792256,0.665169,-1,0,427.176778,0.765533,192.314846,0.644776,0.764372,731.813277,5.176037,5.614927,1.198602,0.019865,5.281013,0.007073,3.805287,1.713139,0.4502,91168,11.420459,0.921835,6.595525,-3.918799,Arc
0.157868,0.010484,0.092024,3.689087,1.561953,0.76928,1.666548,177.81451,1.561953,0.080438,7.672061,0,0.982649,0.5,1,-0.155773,23.574746,230.529207,33.738769,2.622386,0.268009,98.975949,37636.989225,0.045342,0.073661,3,0.549287,1,0.32661,0.66548,2.078867,0,0,0,0,2,2,0.5,3,0.687014,0.758492,0.839897,0.637056,0.451933,0.657822,0.498953,0.783217,0.361582,0.324883,0.547009,0,21.369664,1.769019,0.84608,0.866025,0.977575,0.846604,0.808153,0.955173,0.827204,0.977084,0.565285,1,-1,0,188.215302,1.223841,177.341479,-0.062027,0.998074,230.04987,3.141593,3.141593,1.156184,0.438443,1.661726,0.013656,1.297214,1.22227,0.942227,11328,9.335033,1,5.438296,-0.824526,Arc
